2026-05-30 23:06:08.026582000 [wallet::utxo_scanning] [Thread:4296] DEBUG UtxoScanningMode: New scanning service created // base_layer\wallet\src\utxo_scanner_service\service.rs:84
2026-05-30 23:06:08.026707200 [wallet::utxo_scanning] [Thread:4296] INFO  UtxoScanningMode: UTXO scanning service starting // base_layer\wallet\src\utxo_scanner_service\service.rs:122
2026-05-30 23:06:08.034190300 [wallet::utxo_scanning] [Thread:5916] INFO  UTXO scanning round started // base_layer\wallet\src\utxo_scanner_service\service.rs:150
2026-05-30 23:06:08.034267900 [wallet::utxo_scanning] [Thread:5916] INFO  Starting UTXO scanning task // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:242
2026-05-30 23:06:12.487217100 [wallet::utxo_scanning] [Thread:4296] DEBUG UtxoScanningMode: Found 0 cached previously scanned blocks // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:341
2026-05-30 23:06:12.494655500 [wallet::utxo_scanning] [Thread:4296] DEBUG Wallet birthday is 0 at epoch time 1640995200 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:862
2026-05-30 23:06:13.292234900 [wallet::utxo_scanning] [Thread:10796] INFO  Fresh wallet recovery/scanning: Wallet birthday '0' at epoch time '1640995200' , scanning from epoch time '1640995200' at block height '0' with header hash '3c3681ad318eb54ca3f3e8aed79d3d207d94a5291aec84ba1a0b628633db3621' // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:885
2026-05-30 23:06:13.292288100 [wallet::utxo_scanning] [Thread:10796] INFO  UtxoScanningMode: Scanning UTXO's from height = 0 to current tip_height = 672056 (starting header_hash: 3c3681ad318eb54ca3f3e8aed79d3d207d94a5291aec84ba1a0b628633db3621) // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:289
2026-05-30 23:06:13.292319400 [wallet::utxo_scanning] [Thread:10796] INFO  Starting UTXO scanning from header hash 3c3681ad318eb54ca3f3e8aed79d3d207d94a5291aec84ba1a0b628633db3621 to tip height 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:424
2026-05-30 23:06:15.298332700 [wallet::utxo_scanning] [Thread:4296] DEBUG Scanned up to block 10 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:15.363638500 [wallet::utxo_scanning] [Thread:4296] DEBUG Scanned up to block 20 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:15.551527000 [wallet::utxo_scanning] [Thread:10796] DEBUG Scanned up to block 30 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:15.618125500 [wallet::utxo_scanning] [Thread:10796] DEBUG Scanned up to block 40 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:16.185129000 [wallet::utxo_scanning] [Thread:10796] DEBUG Scanned up to block 50 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:16.250176300 [wallet::utxo_scanning] [Thread:10796] DEBUG Scanned up to block 60 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:16.316480600 [wallet::utxo_scanning] [Thread:10796] DEBUG Scanned up to block 70 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:16.716965100 [wallet::utxo_scanning] [Thread:4296] DEBUG Scanned up to block 80 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:16.857788200 [wallet::utxo_scanning] [Thread:4296] DEBUG Scanned up to block 90 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:17.623098500 [wallet::utxo_scanning] [Thread:4296] DEBUG Scanned up to block 110 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:17.687690100 [wallet::utxo_scanning] [Thread:4296] DEBUG Scanned up to block 120 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:18.246833900 [wallet::utxo_scanning] [Thread:5916] DEBUG Scanned up to block 130 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:18.311564400 [wallet::utxo_scanning] [Thread:5916] DEBUG Scanned up to block 140 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:18.648070300 [wallet::utxo_scanning] [Thread:10412] DEBUG Scanned up to block 150 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:18.714462200 [wallet::utxo_scanning] [Thread:10412] DEBUG Scanned up to block 160 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:18.780367900 [wallet::utxo_scanning] [Thread:10412] DEBUG Scanned up to block 170 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:19.082908300 [wallet::utxo_scanning] [Thread:4296] DEBUG Scanned up to block 180 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:19.147677400 [wallet::utxo_scanning] [Thread:4296] DEBUG Scanned up to block 190 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:19.710036800 [wallet::utxo_scanning] [Thread:5916] DEBUG Scanned up to block 210 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:19.775201600 [wallet::utxo_scanning] [Thread:5916] DEBUG Scanned up to block 220 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:20.122089100 [wallet::utxo_scanning] [Thread:10796] DEBUG Scanned up to block 230 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:20.186637900 [wallet::utxo_scanning] [Thread:10796] DEBUG Scanned up to block 240 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
